id,name,rank,year_published,num_user_ratings
9e0nNBNyOU,Codenames: Duet,118,2016,169
DxWHvojIM1,Agricola,119,2007,170
q4g2Y5eqyZ,The Fox in the Forest,120,2017,168
Yzurao9vqw,Targi,121,2012,136
MVuJW1rWlY,Dinosaur Island,122,2017,144
fAFWwA5CwK,Tapestry,123,2019,127
NYMPJIwU5Y,Kemet,124,2012,154
a17hwVmwdO,Biblios,125,2007,201
VbH6pNiGCH,War of the Ring: Second Edition,126,2012,95
YixemhFia7,No Thanks!,127,2004,209
a1DnNmZRpb,T.I.M.E. Stories,128,2016,183
7P5sZDmCAC,Roll Player,129,2016,158
fZ8RsZxJVM,Mechs vs. Minions,130,2016,147
zzISbkSWvd,Friday,131,2011,187
9jIoFUKWmh,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,132,1981,151
5uqIWPjZZM,Legendary: A Marvel Deck Building Game,133,2012,171
EPRL83Yy4x,Bang! The Dice Game,134,2013,204
M8JSS7lEFH,Tokaido,135,2012,207
zNDNB2oGkS,Tigris & Euphrates,136,1997,151
zNDNB2oGkS,Tigris & Euphrates,136,1997,151
Kv7jwuCexB,Century: Golem Edition,137,2017,124
CqocZK7pu6,Flash Point: Fire Rescue,138,2011,190
X3vSnCymnX,The Gallerist,139,2015,103
HQTOoWnfJm,Charterstone,140,2017,142
gfcOYEnOG4,Colt Express,141,2014,204
RWh7BMYUfn,Imperial Settlers,142,2018,182
7o1BvaDKoO,Eclipse,143,2011,153
nlcJOyC0SG,Photosynthesis,144,2017,171
NdEu7AaK3s,That's Pretty Clever,145,2018,155
uNNMm6GiSF,Too Many Bones,146,2017,55
sXuOW0UGlh,Brass: Lancashire,147,2007,134
nDzHMpoFZB,Tuscany: Essential Edition,148,2016,87
XYkhDbPq0c,Codenames: Pictures,149,2016,177
ApSXoXA1Gs,PARKS,150,2019,62
T8zWWdh0DR,Above and Below,151,2015,166
2eoe0273LD,Rising Sun,152,2018,119
08asLSfoZy,Gloomhaven: Jaws of the Lion,153,2020,21
XzBSrq35uz,Memoir '44,154,2004,148
6dSwjFyCwc,The Grizzled,155,2015,167
e9D9i2fESi,Barenpark,156,2017,148
CT18FG3Yz5,Aeon's End,157,2016,110
JhgjCBqoLa,Space Base,158,2018,129
6jdckjvp5Y,Tsuro,159,2004,228
8sCWCvij4B,Paperback,160,2014,173
7zzrahBDY6,Machi Koro,161,2012,245
unMxq0jVdk,Camel Up,162,2014,191
9wsHFLpu3G,Cartographers: A Roll Player Tale,163,2019,75
3Ayj28wWBH,San Juan,164,2004,176
xBN25pEVRv,Magic Maze,165,2017,169
eEFfBYPY7v,Underwater Cities,166,2018,67
Q3EWjC8Dm7,Smash Up,167,2012,226
1EXtdJ7zva,Spyfall,168,2014,204
vFMkVLRu8x,Ethnos,169,2017,142
a9DddWJ66a,Innovation,170,2010,118
XRp8KrEcdC,Hive Pocket,171,2010,136
ZdHlXy4uxe,Dominant Species,172,2010,127
lgtxzvZ1NM,Ra,173,1999,141
E3BD2egiOX,Decrypto,174,2018,113
k1mYQIlWur,Descent: Journeys in the Dark (Second Edition),175,2016,137
FUZ8eXUZCw,Dice Forge,176,2017,137
N5RiPUD2dp,Pandemic: On the Brink,177,2008,122
AqJmP6K78K,Burgle Bros.,178,2015,135
PDBYoFDnbu,Alhambra,179,2003,175
WCk1e4pjrp,Shadows Over Camelot,180,2005,172
jPKgqDSmKv,Pandemic: Iberia,181,2016,117
1LkeNOwWbB,Hanamikoji,182,2013,123
YA8Q7IRwaC,Survive: Escape From Atlantis,183,1982,169
kbQ7WwkwRW,Escape: The Curse of the Temple,184,2012,166
z2GeV6FSRZ,Trajan,185,2011,121
JdpRadPLi2,Nemesis,186,2018,60
TtPHSNukZB,Village,187,2011,145
bz92QhqAfa,Chronicles of Crime,188,2018,105
Yd28NnaUA0,Citadels,189,2016,187
ZF9FOLsqys,The Lord of the Rings: The Card Game,191,2011,136
ESo5hvCkwa,Lords of Waterdeep: Scoundrels of Skullport,192,2013,123
kKaq4geQYI,Flamme Rouge,193,2016,119
xGn6ak2zxy,Clank! In! Space!,194,2017,82
61HxLWWocX,Grand Austria Hotel,195,2015,119
07sKc1TGJS,El Grande,196,1995,125
6507yfEQMq,Star Wars X-Wing: Core Set,197,2012,148
uw69CrJFCL,Citadels: Classic,198,2000,166
wSsuGhYnVo,Seasons,199,2012,147
dgZDurgbuY,Munchkin,200,2001,270
UVbhOSJZCA,Diamant,202,2005,164
d7vHFjxM6M,Blokus,203,2000,184
1ESn6eONfa,Pandemic Legacy: Season 2,204,2017,93
vPUTmVPc1E,Kingdom Builder,205,2011,154
i2Z60mRM0G,Jamaica,206,2007,157
M9xcYNHOGp,Qwirkle,207,2006,160
aPOzLfTSS9,Scythe: Invaders from Afar,208,2016,87
Zd3nGqEu4q,Arkham Horror,209,2016,175
LZM8VP9UpT,A Game of Thrones: The Board Game Second Edition,210,2011,139
WyCNVFqDN2,Alchemists,211,2014,128
fmSDkAqJbH,Modern Art,212,1992,123
f895NWgAcx,Lisboa,213,2017,70
KEwPXIcfjq,Deep Sea Adventure,214,2014,139
fDqZtSW73n,Acquire,215,2016,141
UfbQPfF6jK,Hero Realms,216,2016,133
NPJFZ6HY8k,Carcassonne: Expansion 1 - Inns & Cathedrals,217,2002,129
1T4vPMhOoB,Terraforming Mars: Prelude,218,2018,73
5e5qeOvkp3,Elder Sign,219,2011,170
7aNZGj840b,Imhotep,220,2016,117
4bnR8NO0Pr,Sentinels of the Multiverse,221,2011,155
AayCJcD6rT,Evolution,222,2014,147
bBQVNekyRm,Potion Explosion,223,2015,134
CFFV7Sik8v,Caylus,224,2005,129
cjyxU3TeXF,Ghost Stories,225,2008,136
gvhGefZQBd,Dune,226,2019,23
8xkkOT11DT,Evolution: Climate,227,2016,85
jYcMsxI5zP,Horrified,228,2019,66
Yq6uL19JmQ,Res Arcana,229,2019,65
gudsN2axFj,6 Nimmt!,230,1994,137
btFnlGIdZD,Near and Far,231,2017,92
J3EADxZcXe,Oh My Goods!,232,2015,119
0X6NaBNOco,Raptor,233,2015,113
DtYnFstrYm,Harry Potter: Hogwarts Battle,234,2016,115
eQcLOlfHSl,Cyclades,235,2009,117
43sGXwF2i7,Scythe: The Rise of Fenris,236,2018,55
6bu6MAewdv,KeyForge: Call of the Archons,237,2018,118
Pmb6ULttIc,Western Legends,238,2018,68
PSVopYiYOv,Battle Line,239,2000,134
Kq0AaGiDkx,Yokohama,240,2016,99
BVmFj3ACjp,Red7,241,2014,144
cyscZjjlse,Telestrations,242,2009,142
Bim53F7UUu,Mice and Mystics,243,2012,126
DrY71g7Sqw,Between Two Cities,244,2015,133
OkrapKvy8z,Maracaibo,245,2019,33
cODAEDHx5x,Alien Frontiers,246,2010,124
Bwawckx54U,Glory To Rome,247,2005,85
51qnzEoFUi,"Hey, That's My Fish!",248,2003,168
teJTtkbxiX,Fury of Dracula (Third and Fourth Editions),249,2015,112
MORBdhHtdP,Wits & Wagers,250,2005,146
X1Ry7UjFFp,Downforce,251,2017,100
Uv2XBEgVtb,Quadropolis,252,2016,128
NequzMRHOq,Lewis & Clark,253,2014,118
vOaFLLUzWg,Dominion: Prosperity,254,2010,101
H2QW6jUtqe,Dominion: Seaside,255,2009,98
liDOjtmpFp,7 Wonders Duel: Pantheon,256,2016,82
if0wZ9AwSv,ICECOOL,257,2016,111
L2xBNjxZjk,Gizmos,258,2018,85
r4SLAaCX6Z,Marvel Champions: The Card Game,259,2019,57
pHwEkloleb,Hansa Teutonica,260,2009,98
KPW86hS7fU,Cryptid,261,2018,83
uBmwnw5A4w,Sprawlopolis,262,2018,81
El8zJPnpYZ,King of Tokyo: Power Up,263,2012,99
OaNtyb98cm,Formula D,264,2008,140
0iNuJdgbmq,One Deck Dungeon,265,2016,109
ytTnB2SMG6,Xia: Legends of a Drift System,266,2014,85
2e7YkCwYCY,Railroad Ink: Deep Blue Edition,267,2018,73
emXlF6hhuP,Fog of Love,268,2017,100
rYhOA6VEXN,High Society,269,1995,107
ceHz5fJDUc,Carcassonne: Expansion 2 - Traders & Builders,270,2003,105
VtoOhDHEFA,Coloretto,272,2003,129
yfbV1dhSK4,Agricola: All Creatures Big and Small,273,2012,123
CqiwZu3GIp,Dominion: Intrigue (Second Edition),274,2016,96
esKU38B2OY,7 Wonders: Leaders,275,2011,98
H6O51FVWf5,Mission: Red Planet (Second Edition),276,2015,106
40Qb0frFQo,Legendary Encounters: An Alien Deck Building Game,277,2014,97
dJz5fFkFEd,Russian Railroads,278,2013,95
mKrkemGVFE,Lanterns: The Harvest Festival,279,2015,128
UErVHNWdNr,Kingsburg,280,2007,132
usmFRWCFjI,Chinatown,281,1999,84
QR88sdDvXX,Dominion: Intrigue,282,2009,99
h6oBJkJlxa,Guillotine,283,1998,159
h6oBJkJlxa,Guillotine,283,1998,159
0sd39XHoO7,Saboteur,284,2004,150
XAI0dayGSY,Disney Villainous,285,2018,102
XZ9BeWAgCu,Ticket To Ride: USA 1910 Expansion,286,2006,89
VohIyfIoow,Dungeon Petz,287,2011,103
dBDlFuXo5i,Coimbra,288,2018,84
CsQvKyj4Va,Nemo's War (Second Edition),289,2017,42
9F2mfE7Y6Z,Mystic Vale,290,2016,105
uVD7OzRUNZ,Space Alert,291,2008,101
eQvC7etpPV,Mombasa,292,2015,82
GqdiH2bkZ1,Root: The Riverfolk Expansion,293,2018,50
Aj03KjGY7z,Castle Panic,294,2009,142
MSeRAS4X1e,Pandemic: The Cure,295,2014,104
JaFhOYFA6v,Letters from Whitechapel,296,2011,102
cRH5zpmn1R,Tikal,297,1999,103
qAUo1yn0pG,King of New York,298,2014,132
YDr6ZHfkja,Azul: Stained Glass of Sintra,299,2018,84
dYkdFNrWYy,Altiplano,300,2017,83
dfjoaijLcJ,Rajas of the Ganges,301,2017,86
74f9mzbw9Y,Exploding Kittens,302,2015,213
H0quEw1gSX,Zombicide: Black Plague,303,2015,92
fogKPrFHnp,Welcome to the Dungeon,304,2013,143
ehzTCNFlhw,Exit: The Abandoned Cabin,305,2016,90
Vqmr65gYYE,Twilight Imperium 3rd Edition,306,2005,105
nxHqHmDDt1,Arcadia Quest,307,2014,92
y1Umv3Jc3w,The Isle of Cats,308,2019,37
54NFDYrC7y,Reef,309,2005,80
RtikkOC9Kc,Port Royal,310,2014,100
5ygNA78TL1,Queendomino,311,2017,96
L217qlAt2G,Cockroach Poker,312,2004,106
KMSrzJe2U1,Ascension: Deckbuilding Game,313,2010,115
EL3YmDLY6W,Risk,314,1959,192
0WNFgoI5HG,Point Salad,315,2019,69
gOTObAtSjb,Vast: The Crystal Caverns,316,2016,90
M0VQtU5g13,Cry Havoc,317,2016,79
5l1wkppKuX,Ca$h 'n Guns (Second Edition),318,2014,124
E5TYKwLTf0,Catan: Cities & Knights,319,1998,100
E5TYKwLTf0,Catan: Cities & Knights,319,1998,100
dFC1lnGINr,Cards Against Humanity,320,2009,215
XiPoK8sDYy,Glass Road,321,2013,88
EvYzPCnCGG,Catan: 5-6 Player Extension,322,1996,119
x0sk1fJyaz,Roborally,323,1994,129
fjEr4WSlRJ,Can't Stop,324,1980,103
sjWj7oJrWL,Concept,325,2013,132
2jYvBeI0jp,My Little Scythe,326,2017,56
IGCnaN9aOy,Flick Em Up!,327,2015,95
LdQnSfXgUN,Fields of Arle,328,2014,69
BgXeKFHwhz,On Mars,329,2019,34
inrjoSn8GD,Tiny Epic Quest,330,2017,98
TI54ZDYCGS,Lorenzo il Magnifico,331,2016,60
OFO3RwkDTC,Trickerion,332,2015,67
AaRXSVtjLn,BANG!,333,2002,163
85oBUmnHRW,Race for the Galaxy: The Gathering Storm,334,2008,73
7mTdDnpqda,Libertalia,335,2012,106
dvU5WLnT5n,Fresco,336,2010,97
3KNI7IpaI8,Tales of the Arabian Nights,337,2009,97
BlcdRRfSEy,Through the Desert,338,1998,98
BlcdRRfSEy,Through the Desert,338,1998,98
PW03z0VS73,Tichu,339,1991,83
xp7ukp16VO,At the Gates of Loyang,340,2009,80
GTEjjzsJtC,Karuba,341,2015,96
KfNhnaKT92,Rhino Hero,342,2011,104
FD8CqReNt1,Eminent Domain,343,2011,103
pYGZPqbmbN,Endeavor: Age of Sail,344,2018,72
on5IaANEQh,The Networks,345,2016,89
4GgBEAN7tZ,Lords of Vegas,346,2010,84
gEbKCsDsDk,The Lord of the Rings: Journeys in Middle-earth,347,2019,42
k7nXOrGDtW,Mint Works,348,2017,97
EmYyVC14DP,Quantum,349,2013,91
Sb1CIhPwOu,The Estates,350,2018,48
fQ8NGxSBVH,Dixit: Odyssey,351,2011,94
eMAjAxUNyJ,Camel Up (Second Edition),352,2018,48
uDl7CD01TP,Samurai,353,1998,83
uDl7CD01TP,Samurai,353,1998,83
Y9dmAfl7NZ,Zombie Dice,354,2010,146
B8AeSW2TWP,7 Wonders: Cities,355,2012,80
HnrbYX2qhH,Vindication,356,2018,52
L121GpLm8J,Archipelago,357,2012,74
UMsW5U0rCk,Legends of Andor,358,2012,85
JyMsRC64I4,Go,359,2000,93
Tc2Iq70NYl,Gùgōng,360,2018,65
HoUzABdX9t,Heaven & Ale,361,2017,68
gip0b8lEIl,Last Will,362,2011,96
Z8E2tdCwbm,La Granja,363,2014,73
CLEu6iqpxa,Ingenious,364,2004,97
ojyWwY8ZYm,Trains,365,2012,92
zMCUEhrOan,Viticulture,366,2013,79
OdjvQmFgtF,Nations,367,2013,75
lxkP1zX037,The Pillars of the Earth,368,2006,91
tch3G4kqPN,Pulsar 2849,369,2017,70
tAVKBpUzgB,Las Vegas,370,2012,92
a1IyKdZmA1,Fugitive Card Game,371,2017,84
fQ1CmHsY5p,Chaos in the Old World,372,2009,78
58eqTsOAuC,This War Of Mine: The Board Game,373,2017,53
r6ZEp8TnXX,Millennium Blades,374,2016,66
dFmuPja8c6,The Manhattan Project: Energy Empire,375,2016,67
G9zZZtzy0E,Space Hulk: Death Angel - The Card Game,376,2010,91
bh3ZlrrSBT,Euphoria: Build a Better Dystopia,377,2013,84
B3Ic8OBdfK,Detective: A Modern Crime Game,378,2018,57
WlJCBUHsjK,Fuse,379,2015,82
wEitDT6oay,5-Minute Dungeon,380,2017,78
CD0uhFDJnN,War Chest,381,2018,40
fd7jnoSPM6,Merchants & Marauders,382,2010,78
dzxIDVujmq,Broom Service,383,2015,84
AvqBwE0if0,Bruges,384,2013,90
GGwRDABj7L,Ticket to Ride: Nordic Countries,385,2007,78
jvj31CHwLp,Bananagrams,386,2006,121
E4xFsTbJiG,A Fake Artist Goes to New York,387,2012,68
7TsBpyt02g,Stockpile,388,2015,69
mx3jWPnpi4,Scythe: The Wind Gambit,389,2017,55
esVg9eV5Ue,Bunny Kingdom,390,2017,71
Jr6iHnx4Mn,Pandemic: Reign of Cthulhu,391,2016,79
MLnoNb7Hc5,Elysium,392,2015,78
FF9LOE0rRE,Star Wars: Outer Rim,393,2019,41
NbD7rJP2qz,Ora et Labora,394,2011,62
spJbVdlGEi,Wavelength,395,2019,49
hR5nHkCzr5,Forbidden Stars,396,2015,62
ZsBRsquOIu,Junk Art,397,2016,76
a2QjmHyc76,Mottainai,398,2015,77
Oyfx6iH2n4,Roll Through the Ages: The Bronze Age,400,2008,86
caLKjC1Enr,Century: Eastern Wonders,401,2018,67
SXVWTlUcEb,Aeon's End: War Eternal,402,2017,51
MZC7ywm99X,Concordia: Salsa,403,2015,50
YfElAOb9o7,Sidereal Confluence,404,2017,48
7CQxPn3IWt,Summoner Wars: Master Set,405,2011,86
Hg5S2Wjc2E,Railroad Ink: Blazing Red,406,2018,64
Gqs49YsnLv,The Manhattan Project,407,2012,73
sOC4PMWhs0,Apples to Apples,408,1999,164
zVhAqeqPxg,The Lord of the Rings,409,2000,86
t2QvlS2A1a,Mr. Jack,410,2006,89
UlpHuSfXAw,Glen More,411,2010,74
W7Cuk1FMYF,Abyss,412,2014,69
uZT3Rb75jp,Specter Ops,413,2015,76
pH1UCBs9dO,Qwixx,414,2012,88
2anJuFWYTH,Fluxx,415,1997,151
2anJuFWYTH,Fluxx,415,1997,151
HU5Lg4E8RT,Star Realms: Colony Wars,416,2015,69
M7UpZZ00UO,Risk: Legacy,417,2011,68
qgFaBUwBnD,Pathfinder Adventure Card Game: Rise of the Runelords Base Set,418,2013,91
c6zGlYyFXt,Dead of Winter: The Long Night,419,2016,69
